horodatage_entree,sens,rang,zone,origine,fraction,ratio_risque,prix_sortie,horodatage_sortie,resultat_r,motif_sortie
2026-08-10 17:47:00+00:00,baissier,1,4346.915,veille_haut,0.5,1.205,4365.715,2026-08-10 18:26:00+00:00,-0.5179,stop
2026-08-10 17:47:00+00:00,baissier,2,4339.675,order_block,0.25,2.068,4365.715,2026-08-10 18:26:00+00:00,-0.2589,stop
2026-08-10 17:47:00+00:00,baissier,3,4312.935,veille_bas,0.25,5.255,4365.715,2026-08-10 18:26:00+00:00,-0.2589,stop
2026-08-12 12:29:00+00:00,haussier,1,4417.285,order_block,0.5,0.063,4416.985,2026-08-12 12:30:00+00:00,0.0222,objectif
2026-08-12 12:29:00+00:00,haussier,2,4420.135,veille_haut,0.5,0.244,4419.835,2026-08-12 12:30:00+00:00,0.1127,objectif
2026-08-12 12:33:00+00:00,haussier,1,4420.135,veille_haut,1.0,0.06,4419.835,2026-08-12 12:34:00+00:00,0.0517,objectif
2026-08-13 01:59:00+00:00,baissier,1,4365.425,veille_bas,0.5,3.924,4365.725,2026-08-13 08:11:00+00:00,1.9479,objectif
2026-08-13 01:59:00+00:00,baissier,2,4339.675,order_block,0.5,6.297,4339.975,2026-08-14 00:27:00+00:00,3.1285,objectif
2026-08-14 12:46:00+00:00,baissier,1,4361.785,asie_haut,0.5,0.541,4388.305,2026-08-14 13:32:00+00:00,-0.5088,stop
2026-08-14 12:46:00+00:00,baissier,2,4353.495,order_block,0.25,1.029,4388.305,2026-08-14 13:32:00+00:00,-0.2544,stop
2026-08-14 12:46:00+00:00,baissier,3,4337.125,order_block,0.25,1.991,4388.305,2026-08-14 13:32:00+00:00,-0.2544,stop
2026-08-14 15:22:00+00:00,baissier,1,4361.785,asie_haut,0.5,2.041,4395.685,2026-08-14 16:02:00+00:00,-0.5136,stop
2026-08-14 15:22:00+00:00,baissier,2,4358.515,order_block,0.25,2.337,4395.685,2026-08-14 16:02:00+00:00,-0.2568,stop
2026-08-14 15:22:00+00:00,baissier,3,4353.495,order_block,0.25,2.791,4395.685,2026-08-14 16:02:00+00:00,-0.2568,stop
2026-08-17 00:18:00+00:00,haussier,1,4417.565,order_block,1.0,2.006,4417.265,2026-08-17 14:19:00+00:00,1.987,objectif
2026-08-19 07:44:00+00:00,baissier,1,4345.545,order_block,0.5,0.4,4369.555,2026-08-19 10:49:00+00:00,-0.5089,stop
