horodatage_entree,sens,rang,zone,origine,fraction,ratio_risque,prix_sortie,horodatage_sortie,resultat_r,motif_sortie
2026-08-10 16:16:00+00:00,baissier,1,4329.7982,fibonacci_0_72,0.5,5.999,4365.795,2026-08-10 18:26:00+00:00,-0.5294,stop
2026-08-10 16:16:00+00:00,baissier,2,4316.305,niveau_bas,0.5,8.645,4365.795,2026-08-10 18:26:00+00:00,-0.5294,stop
2026-08-11 05:01:00+00:00,haussier,1,4426.0386,fibonacci_0_72,0.5,2.784,4401.785,2026-08-11 05:12:00+00:00,-0.5237,stop
2026-08-11 05:01:00+00:00,haussier,2,4434.965,niveau_haut,0.5,4.194,4401.785,2026-08-11 05:12:00+00:00,-0.5237,stop
2026-08-11 14:14:00+00:00,haussier,1,4415.9558,fibonacci_0_72,0.5,1.319,4365.775,2026-08-11 21:00:00+00:00,-0.507,stop
2026-08-11 14:14:00+00:00,haussier,2,4434.965,niveau_haut,0.5,2.203,4365.775,2026-08-11 21:00:00+00:00,-0.507,stop
2026-08-12 04:41:00+00:00,baissier,1,4377.1242,fibonacci_0_72,0.5,1.972,4404.265,2026-08-12 05:10:00+00:00,-0.5166,stop
2026-08-12 04:41:00+00:00,baissier,2,4339.675,order_block,0.5,6.12,4404.265,2026-08-12 05:10:00+00:00,-0.5166,stop
2026-08-12 13:19:00+00:00,baissier,1,4416.4482,fibonacci_0_72,0.5,0.526,4416.7482,2026-08-12 13:26:00+00:00,0.2539,objectif
2026-08-12 13:19:00+00:00,baissier,2,4365.425,niveau_bas,0.5,3.543,4425.635,2026-08-12 13:48:00+00:00,-0.0089,break_even
2026-08-13 05:03:00+00:00,haussier,1,4433.1926,fibonacci_0_72,0.5,5.732,4390.075,2026-08-13 05:44:00+00:00,-0.5236,stop
2026-08-13 05:03:00+00:00,haussier,2,4449.455,niveau_haut,0.5,8.289,4390.075,2026-08-13 05:44:00+00:00,-0.5236,stop
2026-08-13 09:09:00+00:00,haussier,1,4395.0234,fibonacci_0_72,0.5,1.067,4394.7234,2026-08-13 11:16:00+00:00,0.5238,objectif
2026-08-13 09:09:00+00:00,haussier,2,4400.575,order_block,0.5,1.424,4400.275,2026-08-13 12:31:00+00:00,0.7024,objectif
2026-08-13 13:25:00+00:00,baissier,1,4374.3042,fibonacci_0_72,0.5,0.921,4374.6042,2026-08-13 13:52:00+00:00,0.4502,objectif
2026-08-13 13:25:00+00:00,baissier,2,4370.405,order_block,0.5,1.191,4370.705,2026-08-13 14:05:00+00:00,0.5852,objectif
2026-08-13 14:13:00+00:00,haussier,1,4387.3554,fibonacci_0_72,0.5,2.415,4362.605,2026-08-13 14:31:00+00:00,-0.5209,stop
2026-08-13 14:13:00+00:00,haussier,2,4407.125,niveau_haut,0.5,5.176,4362.605,2026-08-13 14:31:00+00:00,-0.5209,stop
2026-08-14 02:01:00+00:00,haussier,1,4349.4478,fibonacci_0_72,0.5,3.5,4310.715,2026-08-14 02:15:00+00:00,-0.5176,stop
2026-08-14 02:01:00+00:00,haussier,2,4364.005,niveau_haut,0.5,5.205,4310.715,2026-08-14 02:15:00+00:00,-0.5176,stop
2026-08-14 14:02:00+00:00,baissier,1,4361.4562,fibonacci_0_72,0.5,2.455,4398.065,2026-08-17 00:53:00+00:00,-0.5129,stop
2026-08-14 14:02:00+00:00,baissier,2,4358.515,order_block,0.5,2.735,4398.065,2026-08-17 00:53:00+00:00,-0.5129,stop
2026-08-17 10:31:00+00:00,baissier,1,4395.6954,fibonacci_0_72,0.5,0.482,4395.9954,2026-08-17 10:38:00+00:00,0.2185,objectif
2026-08-17 10:31:00+00:00,baissier,2,4386.765,niveau_bas,0.5,1.838,4399.175,2026-08-17 10:49:00+00:00,-0.0228,break_even
2026-08-17 17:34:00+00:00,baissier,1,4391.3142,fibonacci_0_72,0.5,1.85,4391.6142,2026-08-18 04:01:00+00:00,0.9157,objectif
2026-08-17 17:34:00+00:00,baissier,2,4390.235,order_block,0.5,1.93,4390.535,2026-08-18 04:01:00+00:00,0.9558,objectif
2026-08-18 14:20:00+00:00,baissier,1,4391.4354,fibonacci_0_72,0.5,1.28,4391.7354,2026-08-18 14:31:00+00:00,0.6183,objectif
2026-08-18 14:20:00+00:00,baissier,2,4385.645,niveau_bas,0.5,2.11,4385.945,2026-08-18 14:33:00+00:00,1.0337,objectif
2026-08-18 17:46:00+00:00,haussier,1,4390.9502,fibonacci_0_72,0.5,2.839,4350.115,2026-08-19 00:01:00+00:00,-0.5115,stop
2026-08-18 17:46:00+00:00,haussier,2,4392.125,order_block,0.5,2.95,4350.115,2026-08-19 00:01:00+00:00,-0.5115,stop
2026-08-19 09:43:00+00:00,baissier,1,4342.8542,fibonacci_0_72,0.5,2.52,4364.415,2026-08-19 10:16:00+00:00,-0.5248,stop
2026-08-19 09:43:00+00:00,baissier,2,4334.975,niveau_bas,0.5,3.825,4364.415,2026-08-19 10:16:00+00:00,-0.5248,stop
2026-08-20 02:05:00+00:00,baissier,1,4487.3566,fibonacci_0_72,0.5,0.284,4487.6566,2026-08-20 04:34:00+00:00,0.1374,objectif
2026-08-20 02:05:00+00:00,baissier,2,4471.755,niveau_bas,0.5,0.771,4496.755,2026-08-20 08:17:00+00:00,-0.0047,break_even
2026-08-20 16:08:00+00:00,baissier,1,4475.6854,fibonacci_0_72,0.5,1.85,4542.095,2026-08-21 01:36:00+00:00,-0.5064,stop
2026-08-20 16:08:00+00:00,baissier,2,4467.725,order_block,0.5,2.193,4542.095,2026-08-21 01:36:00+00:00,-0.5064,stop
2026-08-21 02:02:00+00:00,baissier,1,4522.2678,fibonacci_0_72,0.5,0.292,4522.5678,2026-08-21 02:05:00+00:00,0.1373,objectif
2026-08-21 02:02:00+00:00,baissier,2,4516.815,order_block,0.5,0.609,4527.595,2026-08-21 02:26:00+00:00,-0.0087,break_even
2026-08-21 02:59:00+00:00,baissier,1,4518.3366,fibonacci_0_72,0.5,1.325,4544.815,2026-08-21 04:22:00+00:00,-0.5133,stop
2026-08-21 02:59:00+00:00,baissier,2,4516.815,order_block,0.5,1.46,4544.815,2026-08-21 04:22:00+00:00,-0.5133,stop
2026-08-21 12:03:00+00:00,baissier,1,4585.2862,fibonacci_0_72,0.5,1.234,4585.5862,2026-08-21 12:21:00+00:00,0.6007,objectif
2026-08-21 12:03:00+00:00,baissier,2,4577.785,niveau_bas,0.5,2.061,4578.085,2026-08-21 12:33:00+00:00,1.0138,objectif
2026-08-21 15:31:00+00:00,baissier,1,4575.5078,fibonacci_0_72,0.5,3.048,4608.315,2026-08-21 15:37:00+00:00,-0.5187,stop
2026-08-21 15:31:00+00:00,baissier,2,4563.255,niveau_bas,0.5,4.574,4608.315,2026-08-21 15:37:00+00:00,-0.5187,stop
2026-08-24 05:50:00+00:00,haussier,1,4649.1434,fibonacci_0_72,0.5,0.92,4648.8434,2026-08-24 06:07:00+00:00,0.4459,objectif
2026-08-24 05:50:00+00:00,haussier,2,4656.765,niveau_haut,0.5,1.63,4656.465,2026-08-24 06:18:00+00:00,0.801,objectif
