horodatage_entree,horodatage_sortie,sens,unite_ob,ob_haut,ob_bas,ob_ouverture_bougie1,type_jambe,unite_fvg,type_entree,prix_entree,stop,objectif,prix_sortie,lots,resultat_eur,resultat_r,motif_sortie,heure_entree
2025-03-03 04:07:00+00:00,2025-03-03 09:04:00+00:00,haussier,M15,2863.355,2859.055,2025-03-03 03:15:00+00:00,normale,M5,marche,2864.495,2858.055,2868.995,2868.695,0.09,36.1,0.652,objectif,4
2025-03-03 09:45:00+00:00,2025-03-03 10:46:00+00:00,baissier,M15,2870.425,2868.995,2025-03-03 02:30:00+00:00,normale,M5,marche,2863.425,2871.425,2859.055,2871.725,0.07,-55.49,-1.038,stop,9
2025-03-03 13:13:00+00:00,2025-03-03 13:21:00+00:00,haussier,M15,2873.445,2871.775,2025-03-03 11:30:00+00:00,normale,M5,marche,2874.535,2870.775,2876.905,2870.475,0.15,-58.17,-1.08,stop,13
2025-03-04 02:37:00+00:00,2025-03-04 03:19:00+00:00,haussier,M15,2885.168,2881.648,2025-03-04 01:15:00+00:00,normale,M5,marche,2888.535,2880.648,2890.005,2889.705,0.07,7.76,0.148,objectif,2
2025-03-04 07:13:00+00:00,2025-03-04 07:17:00+00:00,haussier,M15,2888.418,2886.685,2025-03-04 04:00:00+00:00,normale,M5,marche,2892.075,2885.685,2892.895,2892.595,0.09,4.43,0.081,objectif,7
2025-03-04 20:32:00+00:00,2025-03-05 01:12:00+00:00,baissier,M15,2923.495,2919.685,2025-03-04 13:45:00+00:00,normale,M5,marche,2916.425,2924.495,2909.935,2910.235,0.07,40.51,0.757,objectif,20
2025-03-05 02:22:00+00:00,2025-03-05 05:52:00+00:00,baissier,M15,2914.015,2910.675,2025-03-04 18:00:00+00:00,normale,M5,marche,2911.545,2915.945,2894.985,2916.245,0.13,-57.13,-1.068,stop,2
2025-03-06 07:24:00+00:00,2025-03-06 09:55:00+00:00,baissier,M30,2922.885,2921.055,2025-03-05 20:30:00+00:00,normale,M5,marche,2915.125,2923.885,2894.145,2894.445,0.07,134.04,2.361,objectif,7
2025-03-07 10:42:00+00:00,2025-03-07 13:26:00+00:00,haussier,H1,2917.448,2911.955,2025-03-06 19:00:00+00:00,normale,M5,marche,2921.105,2910.955,2922.895,2910.655,0.06,-57.77,-1.03,stop,10
2025-03-07 13:32:00+00:00,2025-03-07 13:37:00+00:00,baissier,M15,2922.565,2920.758,2025-03-07 12:30:00+00:00,normale,M5,marche,2911.128,2923.565,2898.975,2923.865,0.05,-58.67,-1.024,stop,13
