horodatage_entree,horodatage_sortie,sens,unite_ob,type_jambe,unite_fvg,type_entree,prix_entree,stop,objectif,prix_sortie,lots,resultat_eur,resultat_r,motif_sortie,heure_entree
2025-03-03 09:45:00+00:00,2025-03-03 10:46:00+00:00,baissier,M15,normale,M5,marche,2863.425,2871.425,2851.425,2871.725,0.07,-55.49,-1.038,stop,9
2025-03-03 13:15:00+00:00,2025-03-03 13:21:00+00:00,haussier,M15,normale,M1,marche,2875.605,2870.775,2882.85,2870.475,0.11,-53.9,-1.062,stop,13
2025-03-04 02:41:00+00:00,2025-03-04 07:28:00+00:00,haussier,M15,violente,M5,ote,2887.985,2880.648,2898.9905,2898.6905,0.08,81.16,1.459,objectif,2
2025-03-04 20:32:00+00:00,2025-03-05 01:14:00+00:00,baissier,M15,normale,M5,marche,2916.425,2924.495,2904.32,2904.62,0.07,77.26,1.443,objectif,20
2025-03-06 07:24:00+00:00,2025-03-06 08:51:00+00:00,baissier,M30,normale,M5,marche,2915.125,2923.885,2901.985,2902.285,0.07,83.22,1.466,objectif,7
2025-03-12 03:52:00+00:00,2025-03-12 09:01:00+00:00,baissier,M15,normale,M5,marche,2915.108,2922.245,2904.4025,2922.545,0.08,-54.69,-1.042,stop,3
2025-03-12 12:32:00+00:00,2025-03-12 13:25:00+00:00,haussier,M30,normale,M5,marche,2918.775,2907.785,2935.26,2907.485,0.05,-51.89,-1.027,stop,12
2025-03-16 23:56:00+00:00,2025-03-17 11:18:00+00:00,baissier,H1,normale,M5,marche,2989.708,3000.415,2973.6475,3000.715,0.06,-60.58,-1.027,stop,23
2025-03-17 12:06:00+00:00,2025-03-18 01:57:00+00:00,baissier,M15,normale,M5,marche,2994.338,3005.725,2977.2575,3006.025,0.05,-53.55,-1.025,stop,12
2025-03-20 09:23:00+00:00,2025-03-20 10:09:00+00:00,haussier,M15,normale,M5,marche,3046.125,3035.788,3061.6305,3035.488,0.06,-58.91,-1.029,stop,9
2025-03-20 10:59:00+00:00,2025-03-21 05:43:00+00:00,haussier,M15,normale,M5,marche,3035.785,3023.375,3054.4,3023.075,0.05,-58.67,-1.024,stop,10
2025-03-21 06:47:00+00:00,2025-03-21 11:50:00+00:00,baissier,M15,normale,M5,marche,3030.235,3036.585,3020.71,3036.885,0.09,-55.25,-1.047,stop,6
2025-03-21 14:24:00+00:00,2025-03-23 22:58:00+00:00,haussier,M15,normale,M5,marche,3009.325,2998.265,3025.915,3025.615,0.05,75.19,1.473,objectif,14
2025-03-24 06:14:00+00:00,2025-03-24 06:52:00+00:00,baissier,M30,normale,M5,marche,3017.275,3025.315,3005.215,3025.615,0.07,-53.91,-1.037,stop,6
2025-03-24 10:19:00+00:00,2025-03-24 13:38:00+00:00,haussier,M15,normale,M3,marche,3029.715,3021.108,3042.6255,3020.808,0.07,-57.57,-1.035,stop,10
2025-03-25 03:09:00+00:00,2025-03-25 10:14:00+00:00,haussier,H1,normale,M5,marche,3012.155,3003.805,3024.68,3024.38,0.07,79.05,1.464,objectif,3
2025-03-27 02:10:00+00:00,2025-03-27 04:27:00+00:00,haussier,M15,normale,M3,marche,3026.625,3020.448,3035.8905,3035.5905,0.09,74.8,1.451,objectif,2
2025-03-27 07:44:00+00:00,2025-03-27 10:27:00+00:00,haussier,H1,violente,M5,ote,3034.045,3021.698,3052.5655,3052.2655,0.05,84.46,1.476,objectif,7
2025-03-27 14:11:00+00:00,2025-03-28 01:05:00+00:00,haussier,M15,violente,M5,ote,3045.645,3033.458,3063.9255,3063.6255,0.05,83.33,1.475,objectif,14
2025-03-31 11:03:00+00:00,2025-03-31 13:41:00+00:00,haussier,M30,violente,M5,ote,3118.685,3106.198,3137.4155,3105.898,0.05,-59.18,-1.024,stop,11
