horodatage_entree,horodatage_sortie,sens,unite_ob,ob_haut,ob_bas,ob_ouverture_bougie1,type_jambe,unite_fvg,type_entree,prix_entree,stop,objectif,prix_sortie,lots,resultat_eur,resultat_r,motif_sortie,heure_entree
2025-03-03 04:07:00+00:00,2025-03-03 12:37:00+00:00,haussier,M15,2863.355,2859.055,2025-03-03 03:15:00+00:00,normale,M5,marche,2864.495,2858.055,2877.375,2877.075,0.09,108.14,1.953,objectif,4
2025-03-03 13:13:00+00:00,2025-03-03 13:21:00+00:00,haussier,M15,2873.445,2871.775,2025-03-03 11:30:00+00:00,normale,M5,marche,2874.535,2870.775,2882.055,2870.475,0.15,-58.17,-1.08,stop,13
2025-03-04 02:37:00+00:00,2025-03-04 08:14:00+00:00,haussier,M15,2885.168,2881.648,2025-03-04 01:15:00+00:00,normale,M5,marche,2888.535,2880.648,2904.309,2904.009,0.07,102.64,1.962,objectif,2
2025-03-04 20:32:00+00:00,2025-03-05 13:45:00+00:00,baissier,M15,2923.495,2919.685,2025-03-04 13:45:00+00:00,normale,M5,marche,2916.425,2924.495,2900.285,2900.585,0.07,103.67,1.937,objectif,20
2025-03-05 14:56:00+00:00,2025-03-05 15:06:00+00:00,baissier,M15,2914.015,2910.675,2025-03-04 18:00:00+00:00,normale,M5,marche,2910.845,2915.945,2900.645,2916.245,0.11,-55.54,-1.059,stop,14
2025-03-06 07:24:00+00:00,2025-03-06 09:37:00+00:00,baissier,M30,2922.885,2921.055,2025-03-05 20:30:00+00:00,normale,M5,marche,2915.125,2923.885,2897.605,2897.905,0.07,111.61,1.966,objectif,7
2025-03-07 10:42:00+00:00,2025-03-07 13:26:00+00:00,haussier,H1,2917.448,2911.955,2025-03-06 19:00:00+00:00,normale,M5,marche,2921.105,2910.955,2941.405,2910.655,0.06,-57.77,-1.03,stop,10
2025-03-07 13:32:00+00:00,2025-03-07 13:37:00+00:00,baissier,M15,2922.565,2920.758,2025-03-07 12:30:00+00:00,normale,M5,marche,2911.128,2923.565,2886.254,2923.865,0.05,-58.67,-1.024,stop,13
2025-03-07 15:47:00+00:00,2025-03-07 18:26:00+00:00,haussier,M15,2914.775,2903.229,2025-03-07 14:00:00+00:00,normale,M5,marche,2917.115,2902.229,2946.887,2901.929,0.04,-55.96,-1.02,stop,15
2025-03-10 00:56:00+00:00,2025-03-10 02:14:00+00:00,haussier,M30,2913.935,2911.075,2025-03-09 22:30:00+00:00,normale,M5,marche,2914.685,2909.998,2924.059,2909.698,0.12,-55.19,-1.064,stop,0
2025-03-10 02:37:00+00:00,2025-03-10 08:28:00+00:00,haussier,H1,2909.385,2904.475,2025-03-07 19:00:00+00:00,normale,M5,marche,2913.795,2903.475,2934.435,2903.175,0.06,-58.76,-1.029,stop,2
2025-03-10 09:14:00+00:00,2025-03-10 17:39:00+00:00,haussier,M15,2898.975,2890.815,2025-03-06 09:45:00+00:00,violente,M5,ote,2905.885,2889.815,2938.025,2889.515,0.04,-60.39,-1.019,stop,9
2025-03-10 19:22:00+00:00,2025-03-11 01:05:00+00:00,haussier,M15,2884.325,2881.875,2025-03-10 18:15:00+00:00,normale,M5,marche,2888.385,2880.875,2903.405,2880.575,0.08,-57.23,-1.033,stop,19
2025-03-12 02:17:00+00:00,2025-03-12 07:21:00+00:00,haussier,M15,2914.115,2910.558,2025-03-12 01:00:00+00:00,normale,M5,marche,2916.915,2909.558,2931.629,2909.258,0.08,-56.31,-1.041,stop,2
2025-03-12 07:33:00+00:00,2025-03-12 08:52:00+00:00,baissier,M30,2919.455,2915.845,2025-03-11 23:00:00+00:00,normale,M5,marche,2911.805,2920.455,2894.505,2920.755,0.07,-57.59,-1.035,stop,7
2025-03-12 12:32:00+00:00,2025-03-12 13:25:00+00:00,haussier,M30,2912.508,2908.785,2025-03-12 07:00:00+00:00,normale,M5,marche,2918.775,2907.785,2940.755,2907.485,0.05,-51.89,-1.027,stop,12
2025-03-13 23:48:00+00:00,2025-03-14 00:30:00+00:00,haussier,M15,2986.968,2985.488,2025-03-13 23:00:00+00:00,normale,M3,marche,2987.618,2984.488,2993.878,2984.188,0.19,-59.82,-1.09,stop,23
2025-03-14 07:08:00+00:00,2025-03-14 09:12:00+00:00,haussier,M15,2984.275,2981.0,2025-03-14 06:15:00+00:00,normale,M5,marche,2985.125,2980.0,2995.375,2995.075,0.11,100.46,1.941,objectif,7
2025-03-14 10:42:00+00:00,2025-03-14 10:43:00+00:00,haussier,M15,2999.295,2998.275,2025-03-14 09:45:00+00:00,normale,M5,marche,2993.795,2996.395,2998.995,2996.095,0.23,48.56,0.885,stop,10
2025-03-14 16:17:00+00:00,2025-03-14 16:18:00+00:00,baissier,M15,2986.395,2982.255,2025-03-14 14:45:00+00:00,normale,M5,marche,2986.475,2987.395,2984.635,2987.695,0.65,-72.79,-1.326,stop,16
2025-03-14 21:00:00+00:00,2025-03-16 23:18:00+00:00,baissier,M30,2990.285,2987.205,2025-03-14 17:00:00+00:00,normale,M5,marche,2982.875,2991.285,2966.055,2991.585,0.07,-55.96,-1.036,stop,21
2025-03-16 23:56:00+00:00,2025-03-17 11:18:00+00:00,baissier,H1,2999.415,2993.205,2025-03-14 12:00:00+00:00,normale,M5,marche,2989.708,3000.415,2968.294,3000.715,0.06,-60.58,-1.027,stop,23
2025-03-17 12:06:00+00:00,2025-03-18 01:57:00+00:00,baissier,M15,3004.725,3000.595,2025-03-14 10:15:00+00:00,normale,M5,marche,2994.338,3005.725,2971.564,3006.025,0.05,-53.55,-1.025,stop,12
