setup,unite_detection,horodatage_entree,horodatage_sortie,sens,unite_ob,ob_haut,ob_bas,ob_ouverture_bougie1,niveau_prix,niveau_cote,niveau_unite,niveau_formation,sweep_extreme,unite_fibo,reference_prix,unite_fvg,fvg_haut,fvg_bas,type_entree,prix_entree,stop,objectif,prix_sortie,lots,resultat_eur,resultat_r,motif_sortie,heure_entree,n_paliers
order_block,M15,2026-08-10 17:47:00+00:00,2026-08-10 18:26:00+00:00,baissier,M15,4364.415,4360.695,2026-08-10 16:15:00+00:00,,,,,,,,M5,4358.375,4358.025,marche,4357.025,4365.415,4346.915,4365.715,0.07,-52.68,-1.036,stop,17,3
order_block,M15,2026-08-12 12:29:00+00:00,2026-08-12 12:30:00+00:00,haussier,M15,4405.795,4401.535,2026-08-12 08:45:00+00:00,,,,,,,,M5,4412.315,4409.165,marche,4416.285,4400.535,4417.285,4419.835,0.04,7.35,0.135,objectif,12,2
order_block,M30,2026-08-12 12:33:00+00:00,2026-08-12 12:34:00+00:00,haussier,M30,4392.535,4384.825,2026-08-12 06:00:00+00:00,,,,,,,,M5,4412.315,4409.165,marche,4418.065,4383.825,4420.135,4419.835,0.02,3.06,0.052,objectif,12,1
order_block,M15,2026-08-13 01:59:00+00:00,2026-08-14 00:27:00+00:00,baissier,M15,4417.845,4415.515,2026-08-12 19:15:00+00:00,,,,,,,,M5,4410.455,4409.645,marche,4407.995,4418.845,4365.425,4339.975,0.06,286.28,5.076,objectif,1,2
order_block,M15,2026-08-14 12:46:00+00:00,2026-08-14 13:32:00+00:00,baissier,M15,4387.005,4380.885,2026-08-13 14:45:00+00:00,,,,,,,,M5,4377.105,4372.395,marche,4370.995,4388.005,4361.785,4388.305,0.04,-59.87,-1.018,stop,12,3
order_block,M15,2026-08-14 15:22:00+00:00,2026-08-14 16:02:00+00:00,baissier,M15,4394.385,4384.965,2026-08-14 14:15:00+00:00,,,,,,,,M5,4388.565,4385.615,marche,4384.335,4395.385,4361.785,4395.685,0.06,-58.88,-1.027,stop,15,3
order_block,M15,2026-08-17 00:18:00+00:00,2026-08-17 14:19:00+00:00,haussier,M15,4375.615,4372.235,2026-08-16 22:15:00+00:00,,,,,,,,M5,4382.465,4381.705,marche,4386.645,4371.235,4417.565,4417.265,0.04,105.61,1.987,objectif,0,1
order_block,M30,2026-08-19 07:44:00+00:00,2026-08-19 10:49:00+00:00,baissier,M30,4368.255,4362.955,2026-08-18 17:00:00+00:00,,,,,,,,M5,4356.285,4354.815,marche,4352.315,4369.255,4345.545,4369.555,0.04,-59.27,-1.018,stop,7,2
order_block,M30,2026-08-20 07:06:00+00:00,2026-08-20 07:34:00+00:00,baissier,M30,4500.535,4492.015,2026-08-20 03:30:00+00:00,,,,,,,,M5,4489.045,4488.265,marche,4486.675,4501.535,4484.055,4486.975,0.04,3.46,0.068,break_even,7,3
order_block,M15,2026-08-20 07:44:00+00:00,2026-08-20 08:17:00+00:00,baissier,M15,4495.375,4491.115,2026-08-20 06:45:00+00:00,,,,,,,,M5,4491.605,4491.255,marche,4488.705,4496.375,4484.055,4496.675,0.08,-54.55,-1.039,stop,7,3
