setup,unite_detection,horodatage_entree,horodatage_sortie,sens,unite_ob,ob_haut,ob_bas,ob_ouverture_bougie1,niveau_prix,niveau_cote,niveau_unite,niveau_formation,sweep_extreme,unite_fibo,reference_prix,unite_fvg,fvg_haut,fvg_bas,type_entree,prix_entree,stop,objectif,prix_sortie,lots,resultat_eur,resultat_r,motif_sortie,heure_entree,n_paliers
sweep,M15,2026-08-10 16:16:00+00:00,2026-08-10 18:26:00+00:00,baissier,,0.0,0.0,,4361.885,haut,M15,2026-08-10 07:45:00+00:00,4364.495,,,M1,4362.585,4361.345,marche,4360.395,4365.495,4339.675,4365.795,0.12,-56.12,-1.059,stop,16,0
sweep,M15,2026-08-11 05:01:00+00:00,2026-08-11 05:12:00+00:00,haussier,,0.0,0.0,,4407.525,bas,M15,2026-08-11 02:45:00+00:00,4403.085,,,M1,4406.015,4405.505,marche,4408.415,4402.085,4434.965,4401.785,0.1,-57.45,-1.047,stop,5,0
sweep,M15,2026-08-11 14:14:00+00:00,2026-08-11 21:00:00+00:00,haussier,,0.0,0.0,,4393.445,bas,M15,2026-08-11 01:00:00+00:00,4367.075,,,M3,4385.555,4385.275,marche,4387.585,4366.075,4409.635,4365.775,0.03,-56.69,-1.014,stop,14,0
sweep,M30,2026-08-12 04:41:00+00:00,2026-08-12 05:10:00+00:00,baissier,,0.0,0.0,,4400.055,haut,M30,2026-08-11 12:30:00+00:00,4402.965,,,M1,4397.005,4396.905,marche,4394.935,4403.965,4390.115,4404.265,0.07,-56.5,-1.033,stop,4,0
sweep,M15,2026-08-12 13:19:00+00:00,2026-08-13 00:35:00+00:00,baissier,,0.0,0.0,,4423.985,haut,M15,2026-08-12 09:15:00+00:00,4441.245,,,M3,4429.415,4428.565,marche,4425.335,4442.245,4365.425,4442.545,0.04,-59.63,-1.019,stop,13,0
sweep,M30,2026-08-13 05:03:00+00:00,2026-08-13 05:15:00+00:00,haussier,,0.0,0.0,,4395.975,bas,M30,2026-08-12 18:00:00+00:00,4391.375,,,M1,4393.935,4393.855,marche,4396.735,4390.375,4403.805,4403.505,0.1,58.65,1.064,objectif,5,0
sweep,M15,2026-08-13 05:36:00+00:00,2026-08-13 05:44:00+00:00,haussier,,0.0,0.0,,4398.065,bas,M15,2026-08-12 22:15:00+00:00,4391.375,,,M1,4397.455,4396.385,marche,4398.505,4390.375,4417.565,4390.075,0.08,-58.42,-1.037,stop,5,0
sweep,H1,2026-08-13 09:09:00+00:00,2026-08-13 10:53:00+00:00,haussier,,0.0,0.0,,4365.425,bas,H1,2026-08-11 20:00:00+00:00,4363.905,,,M1,4376.705,4375.845,marche,4378.445,4362.905,4392.935,4392.635,0.04,49.17,0.913,objectif,9,0
sweep,M15,2026-08-13 13:25:00+00:00,2026-08-13 14:05:00+00:00,baissier,,0.0,0.0,,4396.475,haut,M15,2026-08-13 11:15:00+00:00,4401.045,,,M1,4390.965,4390.735,marche,4387.605,4402.045,4370.405,4370.705,0.04,58.56,1.17,objectif,13,0
sweep,H1,2026-08-14 02:01:00+00:00,2026-08-14 02:15:00+00:00,haussier,,0.0,0.0,,4316.305,bas,H1,2026-08-10 13:00:00+00:00,4312.015,,,M3,4318.495,4316.805,marche,4319.555,4311.015,4328.915,4310.715,0.07,-53.5,-1.035,stop,2,0
sweep,M15,2026-08-14 14:02:00+00:00,2026-08-17 00:53:00+00:00,baissier,,0.0,0.0,,4387.005,haut,M15,2026-08-13 14:45:00+00:00,4396.765,,,M3,4390.865,4390.195,marche,4387.255,4397.765,4358.515,4398.065,0.06,-55.93,-1.026,stop,14,0
sweep,M15,2026-08-17 10:31:00+00:00,2026-08-17 12:27:00+00:00,baissier,,0.0,0.0,,4401.075,haut,M15,2026-08-17 05:30:00+00:00,4404.465,,,M3,4401.095,4400.395,marche,4398.875,4405.465,4386.765,4387.065,0.09,91.65,1.792,objectif,10,0
sweep,M30,2026-08-17 17:34:00+00:00,2026-08-18 04:01:00+00:00,baissier,,0.0,0.0,,4416.235,haut,M30,2026-08-17 01:00:00+00:00,4428.675,,,M5,4423.925,4418.205,marche,4416.215,4429.675,4398.635,4398.935,0.05,74.65,1.286,objectif,17,0
sweep,M15,2026-08-18 14:20:00+00:00,2026-08-18 14:33:00+00:00,baissier,,0.0,0.0,,4398.435,haut,M15,2026-08-18 08:30:00+00:00,4406.325,,,M1,4402.375,4401.325,marche,4400.355,4407.325,4385.645,4385.945,0.09,112.05,2.067,objectif,14,0
sweep,H1,2026-08-18 17:07:00+00:00,2026-08-19 00:01:00+00:00,baissier,,0.0,0.0,,4364.005,haut,H1,2026-08-13 23:00:00+00:00,4428.675,,,M5,4366.655,4365.855,marche,4364.565,4429.675,4351.415,4351.715,0.01,11.04,0.196,objectif,17,0
sweep,M15,2026-08-19 09:43:00+00:00,2026-08-19 10:16:00+00:00,baissier,,0.0,0.0,,4360.205,haut,M15,2026-08-19 03:30:00+00:00,4363.115,,,M1,4360.345,4359.925,marche,4358.075,4364.115,4345.545,4364.415,0.1,-54.49,-1.05,stop,9,0
sweep,M30,2026-08-20 02:05:00+00:00,2026-08-20 12:01:00+00:00,baissier,,0.0,0.0,,4499.125,haut,M30,2026-08-19 16:00:00+00:00,4527.475,,,M5,4498.615,4498.035,marche,4496.455,4528.475,4471.755,4472.055,0.02,41.75,0.762,objectif,2,0
sweep,H1,2026-08-20 16:08:00+00:00,2026-08-21 01:36:00+00:00,baissier,,0.0,0.0,,4527.475,haut,H1,2026-08-19 22:00:00+00:00,4540.795,,,M3,4519.965,4519.535,marche,4518.595,4541.795,4476.585,4542.095,0.03,-60.31,-1.013,stop,16,0
sweep,H1,2026-08-21 02:02:00+00:00,2026-08-21 04:22:00+00:00,baissier,,0.0,0.0,,4540.795,haut,H1,2026-08-20 15:00:00+00:00,4543.515,,,M1,4528.905,4528.305,marche,4527.295,4544.515,4516.815,4544.815,0.04,-59.95,-1.017,stop,2,0
sweep,M15,2026-08-21 05:13:00+00:00,2026-08-21 05:50:00+00:00,baissier,,0.0,0.0,,4532.645,haut,M15,2026-08-20 23:00:00+00:00,4543.515,,,M1,4535.025,4534.875,marche,4533.865,4544.515,4516.815,4544.815,0.06,-56.2,-1.028,stop,5,0
sweep,M30,2026-08-21 12:03:00+00:00,2026-08-21 12:33:00+00:00,baissier,,0.0,0.0,,4601.875,haut,M30,2026-08-21 09:00:00+00:00,4604.575,,,M3,4597.625,4597.605,marche,4596.495,4605.575,4577.785,4578.085,0.07,110.24,2.028,objectif,12,0
